[702.10.2022 17:19:32.974]    Start Simulation
[702.10.2022 17:19:33.184]    Using board: [Arduino Uno]
[702.10.2022 17:19:33.184]    Simulation time: [100] seconds
[702.10.2022 17:19:33.185]    setup()
[702.10.2022 17:19:33.185]     08 --> 0
[702.10.2022 17:19:33.185]     12 --> 0
[702.10.2022 17:19:33.185]     13 --> 0
[702.10.2022 17:19:33.186]    loop()
[702.10.2022 17:19:33.365]     13 --> 1
[702.10.2022 17:19:33.551]     12 --> 1
[702.10.2022 17:19:33.739]     08 --> 1
[702.10.2022 17:19:33.739]    loop()
[702.10.2022 17:19:33.921]     13 --> 1
[702.10.2022 17:19:34.110]     12 --> 0
[702.10.2022 17:19:34.301]     08 --> 0
[702.10.2022 17:19:34.302]    loop()
[702.10.2022 17:19:34.489]     13 --> 1
[702.10.2022 17:19:34.677]     12 --> 0
[702.10.2022 17:19:34.863]     08 --> 0
[702.10.2022 17:19:34.863]    loop()
[702.10.2022 17:19:35.052]     13 --> 0
[702.10.2022 17:19:35.242]     12 --> 1
[702.10.2022 17:19:35.432]     08 --> 1
[702.10.2022 17:19:35.432]    loop()
[702.10.2022 17:19:35.618]     13 --> 0
[702.10.2022 17:19:35.805]     12 --> 1
[702.10.2022 17:19:35.987]     08 --> 1
[702.10.2022 17:19:35.987]    loop()
[702.10.2022 17:19:36.169]     13 --> 1
[702.10.2022 17:19:36.358]     12 --> 0
[702.10.2022 17:19:36.547]     08 --> 1
[702.10.2022 17:19:36.547]    loop()
[702.10.2022 17:19:36.736]     13 --> 1
[702.10.2022 17:19:36.921]     12 --> 0
[702.10.2022 17:19:37.107]     08 --> 0
[702.10.2022 17:19:37.107]    loop()
[702.10.2022 17:19:37.297]     13 --> 1
[702.10.2022 17:19:37.482]     12 --> 1
[702.10.2022 17:19:37.669]     08 --> 0
[702.10.2022 17:19:37.670]    loop()
[702.10.2022 17:19:37.856]     13 --> 1
[702.10.2022 17:19:38.040]     12 --> 0
[702.10.2022 17:19:38.231]     08 --> 0
[702.10.2022 17:19:38.232]    loop()
[702.10.2022 17:19:38.417]     13 --> 1
[702.10.2022 17:19:38.603]     12 --> 0
[702.10.2022 17:19:38.788]     08 --> 0
[702.10.2022 17:19:38.789]    loop()
[702.10.2022 17:19:38.977]     13 --> 0
[702.10.2022 17:19:39.164]     12 --> 0
[702.10.2022 17:19:39.351]     08 --> 1
[702.10.2022 17:19:39.351]    loop()
[702.10.2022 17:19:39.537]     13 --> 0
[702.10.2022 17:19:39.723]     12 --> 1
[702.10.2022 17:19:39.911]     08 --> 1
[702.10.2022 17:19:39.911]    loop()
[702.10.2022 17:19:40.099]     13 --> 0
[702.10.2022 17:19:40.284]     12 --> 1
[702.10.2022 17:19:40.470]     08 --> 1
[702.10.2022 17:19:40.470]    loop()
[702.10.2022 17:19:40.657]     13 --> 0
[702.10.2022 17:19:40.843]     12 --> 1
[702.10.2022 17:19:41.029]     08 --> 0
[702.10.2022 17:19:41.030]    loop()
[702.10.2022 17:19:41.217]     13 --> 1
[702.10.2022 17:19:41.406]     12 --> 1
[702.10.2022 17:19:41.590]     08 --> 1
[702.10.2022 17:19:41.591]    loop()
[702.10.2022 17:19:41.780]     13 --> 1
[702.10.2022 17:19:41.969]     12 --> 1
[702.10.2022 17:19:42.158]     08 --> 1
[702.10.2022 17:19:42.159]    loop()
[702.10.2022 17:19:42.346]     13 --> 1
[702.10.2022 17:19:42.533]     12 --> 1
[702.10.2022 17:19:42.722]     08 --> 1
[702.10.2022 17:19:42.722]    loop()
[702.10.2022 17:19:42.909]     13 --> 1
[702.10.2022 17:19:43.096]     12 --> 1
[702.10.2022 17:19:43.283]     08 --> 1
[702.10.2022 17:19:43.284]    loop()
[702.10.2022 17:19:43.474]     13 --> 0
[702.10.2022 17:19:43.664]     12 --> 1
[702.10.2022 17:19:43.852]     08 --> 0
[702.10.2022 17:19:43.852]    loop()
[702.10.2022 17:19:44.039]     13 --> 0
[702.10.2022 17:19:44.226]     12 --> 0
[702.10.2022 17:19:44.414]     08 --> 0
[702.10.2022 17:19:44.415]    loop()
[702.10.2022 17:19:44.598]     13 --> 0
[702.10.2022 17:19:44.785]     12 --> 1
[702.10.2022 17:19:44.970]     08 --> 0
[702.10.2022 17:19:44.970]    loop()
[702.10.2022 17:19:45.157]     13 --> 1
[702.10.2022 17:19:45.345]     12 --> 1
[702.10.2022 17:19:45.535]     08 --> 1
[702.10.2022 17:19:45.536]    loop()
[702.10.2022 17:19:45.724]     13 --> 1
[702.10.2022 17:19:45.912]     12 --> 0
[702.10.2022 17:19:46.099]     08 --> 0
[702.10.2022 17:19:46.100]    loop()
[702.10.2022 17:19:46.287]     13 --> 1
[702.10.2022 17:19:46.473]     12 --> 0
[702.10.2022 17:19:46.663]     08 --> 0
[702.10.2022 17:19:46.663]    loop()
